STOCK NUMBER,STOCK CODE,STOCK NAME,WEBLINK,PRICE
5090,MDCH,Media Chinese Int,media-chinese-international-ltd,0.155
1015,AMMB,AMMB,ammb-holdings-bhd,3.69
1023,CIMB,CIMB Group,bumiputra---commerce-holdings-bhd,5.35
1066,RHBC,RHB Bank,rhb-capital-bhd,5.55
1082,HLCB,Hong Leong Financial,hong-leong-financial-group-bhd,17.68
1155,MBBM,Malayan Banking,malayan-banking-bhd,8.92
1171,MBSS,Malaysia Building,malaysia-building-society-bhd,0.805
1295,PUBM,Public Bank,public-bank-bhd,3.98
1562,SPOR,Berjaya Sports Toto,berjaya-sports-toto-bhd,1.51
1619,DRBM,DRB Hicom,drb---hicom-bhd,1.46
1651,MYRS,Malaysian Resources,malaysian-resources-corporation,0.375
1818,BMYS,Bursa Malaysia,bursa-malaysia-bhd,6.51
1961,IOIB,IOI Corp,ioi-corporation-bhd,4.07
2054,TDMS,TDM,tdm-bhd,0.19
2291,GENP,Genting Plantations,genting-plantations-bhd,5.95
2445,KLKK,Kuala Lumpur Kepong,kuala-lumpur-kepong-bhd,23.32
2488,ALLI,Alliance Bank Malaysia,malaysian-plantations-bhd,3.4
2836,CBMS,Carlsberg Brewery,carlsberg-brewery-malaysia-bhd,20.8
3026,DBMS,Dutch Lady Milk,dutch-lady-milk-industries-bhd,21.48
3034,HAPS,Hap Seng Consolidated,hap-seng-consolidated-bhd,3.24
3182,GENT,Genting,genting-bhd,4.22
3336,IJMS,IJM Corp,ijm-corporation-bhd,1.47
3395,BGRO,Berjaya Corp,berjaya-corporation-bhd,0.305
3417,ENOB,Eastern & Oriental,eastern---oriental-bhd,0.36
3794,MALY,Lafarge Malayan Cement,lafarge-malayan-cement-bhd,3.08
3816,MISC,MISC,misc-bhd,7.14
3859,MAGM,Magnum,magnum-bhd,1.07
3905,MITC,Mulpha Int,mulpha-international-bhd,2.49
4065,PEPT,PPB,ppb-group-bhd,16.56
4162,BATO,BAT Malaysia,british-american-tobacco-(m)-bhd,10.3
4197,SIME,Sime Darby,sime-darby-bhd,2.12
4502,MPRM,Media Prima,media-prima-bhd,0.44
4588,UMWS,UMW,umw-holdings-bhd,3.95
4677,YTLS,YTL Corp,ytl-corporation-bhd,1.13
4863,TLMM,Telekom Malaysia Bhd,telekom-malaysia-bhd,5.0
5031,TCOM,TIME Dotcom,time-dotcom-bhd,5.35
5112,THPB,TH Plantations,th-plantations-bhd,0.57
5131,ZHCO,Zhulian Corp,zhulian-corporation-bhd,1.88
5148,UMSB,UEM Sunrise,uem-sunrise-bhd,0.435
5200,UOAD,UOA Development,uoa-development-bhd,1.76
5347,TENA,Tenaga Nasional,tenaga-nasional-bhd,9.46
5401,TROP,Tropicana Corp,tropicana-corporation-bhd,1.29
6742,YTLP,YTL Power Int,ytl-power-international-bhd,1.3
7113,TPGC,Top Glove Corp,top-glove-corporation-bhd,0.88
9059,TSHR,TSH Resources,tsh-resources-bhd,1.01
9679,WCTE,WCT,wct-holdings-bhd,0.45
4634,PSHL,POS Malaysia & Srvcs,pos-malaysia-services-holdings-bhd,0.55
4715,GENM,Genting Malaysia,genting-malaysia-bhd,2.54
5012,TAAN,Ta Ann,ta-ann-holdings-bhd,3.6
5014,MAHB,Malaysia Airport,malaysia-airport-holdings-bhd,6.88
5053,OSKH,OSK,osk-holdings-bhd,1.1
5077,MBCB,Malaysian Bulk Carriers,malaysian-bulk-carriers-bhd,0.31
5085,MJYA,Mudajaya,mudajaya-group-bhd,0.19
5099,CAPI,Capital A Berhad,airasia-bhd,0.85
5113,RIMB,Rimbunan Sawit,rimbunan-sawit-bhd,0.145
5138,HAPP,Hap Seng Plantations,hap-seng-plantations-holdings-bhd,1.95
5139,ANCR,Aeon Credit Service,aeon-credit-service-(m)-bhd,12.0
5141,DEHB,Dayang Enterprise,dayang-enterprise-holdings-bhd,1.4
5161,JCYI,JCY Int,jcy-international-bhd,0.175
5168,HTHB,Hartalega,hartalega-holdings-bhd,2.08
5180,CAMA,CapitaLand Malaysia Mall,capitamalls-malaysia-trust,0.52
5183,PCGB,Petronas Chemicals,petronas-chemicals-group-bhd,6.5
5186,MHEB,Malaysia Marine and Heavy Eng,malaysia-marine-heavy-engineering,0.58
5209,GASM,Gas Malaysia,gas-malaysia-bhd,3.02
5210,BUAB,Bumi Armada,bumi-armada-bhd,0.535
5211,SWAY,Sunway,sunway-bhd,1.67
5212,PREI,Pavilion REIT,pavilion-real-estate-inv-trust,1.23
5218,SAEN,Sapura Energy,sapurakencana-petroleum-bhd,0.035
5222,FGVH,FGV Holdings Bhd,felda-global-ventures-holdings-bhd,1.43
5225,IHHH,IHH Healthcare,ihh-healthcare-bhd,5.85
5227,IGRE,IGB REIT,igb-real-estate-investment-trust,1.66
5235SS,KLCC,KLCC Property,klcc-prop-reits---stapled-sec,6.8
5258,BIMB,Bank Islam Malaysia Bhd,bimb-holdings-bhd,2.1
5398,GAMU,Gamuda,gamuda-bhd,4.57
5657,PRKN,Parkson,parkson-holdings-bhd,0.21
5681,PETR,Petronas Dagangan,petronas-dagangan-bhd,22.18
5819,HLBB,Hong Leong Bank,hong-leong-bank-bhd,18.94
5878,KPJH,KPJ Healthcare,kpj-healthcare-bhd,1.11
5983,MBMR,MBM Resources,mbm-resources-bhd,3.45
6012,MXSC,Maxis,maxis-bhd,4.05
6033,PGAS,Petronas Gas,petronas-gas-bhd,17.0
6399,ASTR,Astro Malaysia,astro-malaysia-holdings-bhd,0.515
6888,AXIA,Axiata,axiata-group-bhd,2.6
6947,CELC,CelcomDigi Bhd,digi.com-bhd,4.43
7052,PDNI,Padini,padini-holdings-bhd,3.9
7084,QRES,QL Resources,ql-resources-bhd,5.42
7106,SUPM,Supermax Corp,supermax-corporation-bhd,0.82
7153,KRIB,Kossan Rubber Ind,kossan-rubber-industries-bhd,1.37
7277,DIAL,Dialog,dialog-group-bhd,2.2
