full_date,year,month
2015-09-30,2015,9
2016-09-30,2016,9
2016-12-31,2016,12
2017-09-30,2017,9
2017-12-31,2017,12
2018-09-30,2018,9
2018-12-31,2018,12
2019-03-31,2019,3
2019-05-31,2019,5
2019-06-30,2019,6
2019-07-31,2019,7
2019-08-31,2019,8
2019-09-30,2019,9
2019-10-31,2019,10
2019-11-30,2019,11
2019-12-31,2019,12
2020-01-31,2020,1
2020-02-29,2020,2
2020-03-31,2020,3
2020-04-30,2020,4
2020-05-31,2020,5
2020-06-30,2020,6
2020-07-31,2020,7
2020-08-31,2020,8
2020-09-30,2020,9
2020-10-31,2020,10
2020-11-30,2020,11
2020-12-31,2020,12
2021-01-31,2021,1
2021-02-28,2021,2
2021-03-31,2021,3
2021-04-30,2021,4
2021-05-31,2021,5
2021-06-30,2021,6
2021-07-31,2021,7
2021-08-01,2021,8
2021-08-31,2021,8
2021-09-30,2021,9
2021-10-31,2021,10
2021-11-30,2021,11
2021-12-31,2021,12
2022-01-31,2022,1
2022-02-28,2022,2
2022-03-31,2022,3
2022-04-30,2022,4
2022-05-31,2022,5
2022-06-30,2022,6
2022-07-31,2022,7
2022-08-31,2022,8
2022-09-30,2022,9
2022-10-31,2022,10
2022-11-30,2022,11
2022-12-31,2022,12
2023-01-31,2023,1
2023-02-28,2023,2
2023-03-31,2023,3
2023-04-30,2023,4
2023-05-31,2023,5
2023-06-30,2023,6
