metric_name,statement_name,metric_path,parent_metric_path
Accounts Payable,Balance Sheet,Total Current Liabilities > Accounts Payable,Total Current Liabilities
"Accounts Receivables - Trade, Net",Balance Sheet,"Total Current Assets > Accounts Receivables - Trade, Net",Total Current Assets
Accrued Expenses,Balance Sheet,Total Current Liabilities > Accrued Expenses,Total Current Liabilities
"Accumulated Depreciation, Total",Balance Sheet,"Total Assets > Accumulated Depreciation, Total",Total Assets
Additional Paid-In Capital,Balance Sheet,Total Equity > Additional Paid-In Capital,Total Equity
Amortization,Cash Flow,Cash From Operating Activities > Amortization,Cash From Operating Activities
Beginning Cash Balance,Cash Flow,Beginning Cash Balance,
Capital Expenditures,Cash Flow,Cash From Investing Activities > Capital Expenditures,Cash From Investing Activities
Capital Lease Obligations,Balance Sheet,Total Liabilities > Capital Lease Obligations,Total Liabilities
Cash,Balance Sheet,Total Current Assets > Cash,Total Current Assets
Cash & Equivalents,Balance Sheet,Total Current Assets > Cash & Equivalents,Total Current Assets
Cash From Financing Activities,Cash Flow,Cash From Financing Activities,
Cash From Investing Activities,Cash Flow,Cash From Investing Activities,
Cash From Operating Activities,Cash Flow,Cash From Operating Activities,
Cash Interest Paid,Cash Flow,Cash From Operating Activities > Cash Interest Paid,Cash From Operating Activities
Cash Payments,Cash Flow,Cash From Operating Activities > Cash Payments,Cash From Operating Activities
Cash Receipts,Cash Flow,Cash From Operating Activities > Cash Receipts,Cash From Operating Activities
Cash Taxes Paid,Cash Flow,Cash From Operating Activities > Cash Taxes Paid,Cash From Operating Activities
Cash and Short Term Investments,Balance Sheet,Total Current Assets > Cash and Short Term Investments,Total Current Assets
Changes in Working Capital,Cash Flow,Cash From Operating Activities > Changes in Working Capital,Cash From Operating Activities
"Common Stock, Total",Balance Sheet,"Total Equity > Common Stock, Total",Total Equity
"Cost of Revenue, Total",Income Statement,"Cost of Revenue, Total",
Current Port. of LT Debt/Capital Leases,Balance Sheet,Total Current Liabilities > Current Port. of LT Debt/Capital Leases,Total Current Liabilities
DPS - Common Stock Primary Issue,Income Statement,DPS - Common Stock Primary Issue,
Deferred Income Tax,Balance Sheet,Total Liabilities > Deferred Income Tax,Total Liabilities
Deferred Taxes,Cash Flow,Cash From Operating Activities > Deferred Taxes,Cash From Operating Activities
