stock_number,stock_code,stock_name,weblink,price
0001,SCTH,Supercomnet Tech,supercomnet-technologies-bhd,1.33
0002,KOIN,Kotra Industries,kotra-industries-bhd,5.11
0005,UCRE,UCrest,palette-multimedia-bhd,0.145
0006,PINE,Pineapple Resources Bhd,pineapple-resources-bhd,0.8
0007,PUCB,PUC,puc-founder-msc-bhd,0.03
0008,WLOW,Willowglen MSC,willowglen-msc-bhd,0.365
0010,IRIB,IRIS Corporation,iris-corporation-bhd,0.09
0011,BECH,Brite Tech,brite-tech-bhd,0.31
0012,THEA,Three A Resources Bhd,three-a-resources-bhd,0.81
0017,XOXT,XOX Tech Bhd,m3-technologies-asia-bhd,0.035
0018,LAMB,Lambo,accsoft-technology-bhd,0.02
0020,NETX,NetX,netx-holdings-bhd,0.07
0021,GHLS,GHL Systems,ghl-systems-bhd,0.815
0022,PARL,Parlo Bhd,parlo-bhd,0.115
0023,IFCA,IFCA MSC,ifca-msc-bhd,0.29
0024,JAGB,JAG,jag-bhd,0.325
0025,YBSI,YBS Intl,lng-resources-bhd,0.715
0026,NOVS,Nova MSC,nova-msc-bhd,0.115
0028,SCPE,Scope Industries Bhd,scope-industries-bhd,0.135
0029,DIGS,Digistar,digistar-corporation-bhd,0.07
0032,RTON,Redtone International,redtone-international-bhd,0.67
0034,MMAG,MMAG Holdings,mmag-holdings-bhd,0.01
0035,OPCM,OPCOM,opcom-holdings-bhd,0.77
0036,KGRP,Key Alliance,key-alliance-group-bhd,0.01
0037,RGBI,RGB International Bhd,rgb-international-bhd,0.335
0038,ARTR,Artroniq Berhad,plastrade-technology-bhd,0.755
0039,GFMS,GFM Services,gfm-services,0.18
0040,OPYS,OpenSys M,opensys-m-bhd,0.32
0041,HONG,Hong Seng Consolidated Bhd,panpages-bhd,0.085
0043,MTNC,Metronic Global Bhd,metronic-global-bhd,0.015
0045,SOUH,Southern Score Builders Berhad,g-neptune-bhd,0.2
0048,ANCO,Ancom Logistics,ancom-logistics-bhd,0.14
0049,OCEA,Oceancash Pacific,oceancash-pacific-bhd,0.3
0050,SYST,Systech,systech-bhd,0.36
0051,CUSC,Cuscapi Berhad,cuscapi-berhad,0.19
0053,OSKV,OSK Ventures Intl,osk-ventures-international-bhd,0.455
0054,KARY,Karyon Industries,karyon-industries-bhd,0.17
0055,SSOL,Sersol Bhd,sersol-bhd,0.12
0056,NCTA,NCT Alliance Bhd,grand-flo-bhd,0.36
